FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,distance_to_cluster_center_2,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
森　璃太,Riita Mori,SB,3,サイドバック,2.375309,-1.007928,-0.555205,-0.25026,0.841968,1.222442,1.978647,1.34485,0.463299,0.099433,0.492121,3.1907643960571583,-1.8133929999999998,1.054853,-3.1907643960571583,4.165465,93,28,76,6
西久保　駿介,Shunsuke   Nishikubo,SB,2,サイドバック,1.010025,0.29834,-0.19864,-0.396298,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.0100252148496096,-0.29659800000000003,-0.161028,-1.0100252148496096,-0.093431,72,68,11,72
吉田　朋恭,Tomoyasu Yoshida,SB,0,サイドバック,2.056937,0.670444,0.359047,0.336823,-0.511375,0.579201,-0.500657,-1.42154,0.919127,-0.865772,0.587224,2.8033139655723547,1.366314,0.640579,-2.8033139655723547,-2.433572,40,33,59,110
小西　宏登,Hiroto Konishi,SB,2,サイドバック,1.13677,-0.669084,0.12428,0.453671,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.136770281761887,-0.09113300000000008,-0.161028,-1.136770281761887,-0.093431,68,55,12,59
伊川　拓,Taku Ikawa,SB,1,サイドバック,2.206063,-0.642421,-0.815652,-0.946138,-0.206575,-1.68572,-1.322558,-0.807073,0.599701,0.721028,-0.204915,2.6795014916853472,-2.404211,1.115814,-2.6795014916853472,-2.336206,100,27,57,107
高橋　峻希,Shunki Takahashi,SB,0,サイドバック,2.317886,-0.197604,0.290391,0.456254,-0.951946,1.554079,-0.37785,-1.18084,-0.531837,0.188543,-0.370621,2.487732627417585,0.549041,-0.713915,-2.487732627417585,-2.510636,56,83,49,111
坂本　翔,Kakeru Sakamoto,SB,1,サイドバック,2.050897,-1.131182,-1.024399,-0.869161,-0.246128,-0.442688,0.283642,0.677775,0.634594,0.90614,2.226328,3.25634376874494,-3.024742,3.767062,-3.25634376874494,0.7152890000000001,104,7,78,36
木實　快斗,Kaito Konomi,SB,2,サイドバック,0.633641,-0.730485,-0.451138,-0.070441,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.6336407407845552,-1.252064,-0.161028,-0.6336407407845552,-0.093431,84,59,4,63
四宮　悠成,Yusei Shinomiya,SB,2,サイドバック,1.267927,-0.615464,0.161433,0.611889,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.2679264757437632,0.157858,-0.161028,-1.2679264757437632,-0.093431,61,48,17,52
西　大伍,Daigo Nishi,SB,1,サイドバック,3.138189,-0.882559,-1.430955,-1.55916,-1.823518,-2.895222,-1.042346,1.782872,-0.035395,2.042841,1.132695,5.117803072963047,-3.872674,3.140141,-5.117803072963047,-1.0829920000000002,110,8,114,93
